Profile-ID,Consumer-ID,Customer-Name,Session-ID,Transaction-Reference,Transaction-Amount,Currency,Transaction-Type,Transaction-Status,Account-Number,Account-Balance,Merchant-ID,Merchant-Name,Fraud-Flag,Timestamp
1132086,CUST-9047,Kurt Peters,ba0f0f35-adab-4600-a221-2105482ee83e,f8501170-ee5e-4a5f-a2d1-929f634c4c38,170.72,JPY,Debit,Success,ACC-896591,2500.41,MER-4468,Best Buy,False,2022-03-06 05:22:34
4259375,CUST-8548,Jane Smith,fd59c96b-a879-4fbd-bc95-3bc7b87477c8,f8501170-ee5e-4a5f-a2d1-929f634c4c38,209.76,GBP,Purchase,Pending,ACC-282302,2845.64,MER-1579,Best Buy,True,2022-02-23 19:54:13
1868604,CUST-9335,Jackie O'Neil,8653c7b5-c314-47d3-831e-d5cf7d2e7caa,299e823f-ac93-46ec-8248-720532f41fc3,438.28,JPY,Debit,Failed,ACC-148676,3042.55,MER-4195,Amazon,True,2022-09-18 01:40:28
9645494,CUST-8018,Charlie Davis,7af18bf6-747e-4c00-b5d1-0136b069ebb9,6c03c686-ddc3-4d93-8f41-1def294c33ba,163.05,JPY,Debit,Pending,ACC-598792,3309.79,MER-6938,Apple Store,True,2022-08-05 11:01:50
1205714,CUST-9742,Alice Johnson,87b82803-374d-4b80-bf63-c3023a2f10e0,baa9ab99-6906-49b1-8930-a18d4ef177d5,196.84,JPY,Purchase,Failed,ACC-691219,6963.93,MER-2260,Uber,False,2022-09-12 06:03:24
5222187,CUST-1265,Henry Miller,a0b4576b-b34c-458f-ad9a-3345687b491f,ece4da5d-65e7-4941-b723-c118c41a031b,94.14,EUR,Refund,Success,ACC-176906,2775.36,MER-9069,Uber,True,2022-11-11 13:07:01
2335668,CUST-3600,Bob Brown,256acb25-9317-4ab7-92f1-6135828fe2ba,b5964077-d65d-4744-b1bf-9377cac67130,191.48,GBP,Purchase,Failed,ACC-818751,8213.93,MER-8489,Costco,True,2022-09-08 03:45:13
3099325,CUST-8367,Mike Rogers,ad3d1772-e8e7-4652-a9d6-720f675c110f,2fe6d69b-00c0-4aa2-a3a6-7aa074a5bdf2,49.79,USD,Purchase,Pending,ACC-916489,5244.36,MER-5292,Apple Store,False,2022-02-05 19:23:50
8380938,CUST-6702,Ivy Nelson,cc409713-bd95-4e2b-b8d4-1c3bb9c05496,886abde6-12e8-4fa5-820e-f8a737289f8b,356.54,USD,Debit,Success,ACC-697659,8847.23,MER-5505,Apple Store,False,2022-03-30 14:18:53
8931660,CUST-9195,Ivy Nelson,ffc3eece-0564-4429-9208-3b37f7398efd,d9c05707-d225-48c3-b6c2-d882253ad25f,480.24,JPY,Purchase,Success,ACC-871741,4084.09,MER-6560,Amazon,True,2022-01-22 15:33:08
8672785,CUST-4322,Kurt Peters,9b87aadf-7d34-47c3-b060-108a00618191,90cf9b50-74d2-4efc-8725-dd91e5a602af,91.64,USD,Purchase,Pending,ACC-746175,8906.93,MER-9914,Uber,True,2022-11-16 03:53:38
2773974,CUST-4665,Jane Smith,c75e783e-d176-48f1-ab8c-de1378fb96ba,2214edcb-1770-49fb-a442-bfc73b74b877,307.74,EUR,Purchase,Pending,ACC-340738,2030.69,MER-4894,Netflix,True,2022-06-02 01:46:58
2299137,CUST-1024,Bob Brown,f4c180e5-fd75-490b-bdf0-4ccb93bc0c74,235505c9-5adb-4a7d-b869-30cf49ee67f6,127.01,USD,Purchase,Success,ACC-384865,972.07,MER-9674,Shell Gas Station,True,2022-07-15 13:05:37
1917617,CUST-9617,Nancy Stevens,93a4abee-fea6-4f30-8424-ace1da099661,52b1a04d-9324-4e94-95e4-50dfa7f31f48,384.84,USD,Refund,Success,ACC-324350,1945.17,MER-4065,Uber,True,2022-09-06 20:26:33
7182925,CUST-1529,John Doe,e23356bb-67bb-482c-949b-bebf7b762207,d096ba23-b8ce-47a9-8728-cf19482eee08,382.79,EUR,Purchase,Failed,ACC-551842,7106.01,MER-3258,Zara,False,2022-10-02 22:49:01
8869128,CUST-6390,Alice Johnson,e11942d0-74d6-4f3a-8460-612eb3c3fa88,8789bbdc-fbef-4d3c-bccc-d5542aea3161,121.12,USD,Purchase,Pending,ACC-312508,7644.99,MER-5516,Shell Gas Station,True,2022-03-22 09:09:38
1173437,CUST-4084,Frank Harris,b117ab8e-a493-4d53-9f96-e8b44068594a,44db0ee1-fd40-4913-a388-c03d4f5e634d,262.3,JPY,Purchase,Pending,ACC-322975,8132.3,MER-9972,Zara,True,2022-10-09 21:20:21
4755282,CUST-3324,Henry Miller,a70eda86-d002-4dbe-8178-c280450db951,086a6efb-1537-4425-a69a-4dcfcccdb8e5,311.92,EUR,Purchase,Failed,ACC-889316,4572.03,MER-5586,Best Buy,True,2022-04-12 23:53:17
6280690,CUST-1740,Ivy Nelson,0dd8e0bb-22a6-43d0-a07c-1589988f7ee0,0e4bbb90-bd3d-4fdc-81b4-b6193a4dbecf,278.27,USD,Purchase,Success,ACC-765272,8599.12,MER-2134,McDonald's,False,2022-02-21 16:13:10
2460053,CUST-8956,Henry Miller,8b77a8be-4c70-4546-8b8b-2d77f5be5ab6,de59fecd-6193-4c78-b00a-6ce2d394b790,246.55,GBP,Refund,Success,ACC-871495,7723.04,MER-3754,Google Play,False,2022-03-19 02:29:02
2011325,CUST-4658,John Doe,005e9e0e-f210-4df9-b0b2-658e3ae55ce5,20b8001f-4141-4b61-b1e5-cc1d4db323d7,450.18,EUR,Purchase,Failed,ACC-818287,8857.48,MER-4605,Google Play,True,2022-08-01 09:27:12
1074699,CUST-4934,Jane Smith,c72a0c23-b72a-4056-9b64-0d8e5081d370,8e206bd7-a1b1-433a-9855-5fd3434da0bb,332.24,GBP,Purchase,Pending,ACC-139763,1183.02,MER-6627,Netflix,True,2022-07-31 22:01:13
8882146,CUST-9906,Grace Lee,03688fce-5e41-4a84-a721-780b55b1192c,897742e9-e29a-4adf-94ed-e1d8c968d587,32.56,JPY,Purchase,Pending,ACC-752236,1105.81,MER-5856,McDonald's,False,2022-05-20 15:33:41
6625834,CUST-6661,Jackie O'Neil,afa13548-9e4b-46a0-9736-ba37390719b4,84c084f7-9819-44d0-9bdb-baaafbd42360,285.84,GBP,Debit,Success,ACC-597238,6611.73,MER-3082,Best Buy,True,2022-08-17 00:11:41
6244774,CUST-8661,Jackie O'Neil,d3c6bf97-483f-46a4-adb4-807b36be252b,75ce6538-c066-40a6-837d-07ae1ee218ff,420.06,USD,Refund,Failed,ACC-150194,5090.98,MER-8125,Apple Store,True,2022-10-07 22:49:03
3258243,CUST-2903,Ivy Nelson,c1ae7789-8591-49ab-b626-71952719865f,7afa6e4f-63f5-4b78-a8eb-cb59ce533e0a,239.75,USD,Debit,Pending,ACC-618630,2522.86,MER-1847,Zara,False,2022-02-08 14:49:05
3571049,CUST-5682,Kurt Peters,6a803613-6b6a-4639-817c-13e1385bd166,e21a8b8e-fd59-4f75-b7d2-3e7f87914334,435.27,JPY,Debit,Success,ACC-418981,7279.08,MER-3266,Google Play,True,2022-09-22 23:31:22
6234857,CUST-8589,Ivy Nelson,d4b98001-9985-4220-910a-b98debf026a6,749f52ae-56f2-4a08-9cd3-664e5f3e8732,437.64,JPY,Debit,Pending,ACC-949415,1442.64,MER-4925,Amazon,True,2022-06-11 22:56:30
8400600,CUST-5479,Laura Quinn,66e713c1-f549-40df-8861-40bf3ae35c2d,fb436d25-961e-48f2-a7de-403f0a20b1af,97.75,JPY,Refund,Failed,ACC-799266,5678.71,MER-4698,Home Depot,True,2022-02-19 12:02:47
