Profile-ID,Consumer-ID,Customer-Name,Session-ID,Transaction-Reference,Transaction-Amount,Currency,Transaction-Type,Transaction-Status,Account-Number,Account-Balance,Merchant-ID,Merchant-Name,Fraud-Flag,Timestamp
6678210,CUST-2019,Henry Miller,cee67bc9-8f58-4757-a572-9364bc270a07,5bfaed62-cd4a-424b-acfa-03c9be3d0315,193.91,GBP,Purchase,Pending,ACC-977203,8378.32,MER-6319,Uber,True,2022-11-11 10:26:25
4888367,CUST-2890,Grace Lee,fc5ed24c-c2c8-4a5f-9a3b-6107d6118992,9b9ec118-831e-4627-a1f4-ae27762243ae,486.3,USD,Purchase,Success,ACC-674908,9492.89,MER-5764,McDonald's,False,2022-10-06 03:05:03
7520818,CUST-1218,Nancy Stevens,cc674578-4ba6-489d-ad36-e34959b9d4ae,b41faf0f-73fc-4b6b-ac66-f9c9f4d6b80a,127.39,EUR,Debit,Failed,ACC-419487,6991.42,MER-9367,Uber,True,2022-07-05 12:53:45
9122097,CUST-1094,John Doe,f39b07fd-fe14-4629-a783-2d44b0047d22,05d74eea-f32b-4b0c-8fe9-a14e6c666dac,338.94,JPY,Debit,Success,ACC-140964,4424.13,MER-2234,Starbucks,True,2022-11-15 05:46:54
8176720,CUST-6198,Henry Miller,121fba42-e32d-4ba3-9a22-c82f1a2e56d3,22cb07a4-e335-4ab6-be79-e1b60462851e,299.29,JPY,Purchase,Success,ACC-143718,8103.68,MER-8971,Home Depot,True,2022-09-22 03:15:31
5825213,CUST-3678,Henry Miller,92da439a-32bd-43e3-b77b-3a0d8b6aa199,f8db56c2-fcf3-4b86-b0a0-72de63bf8672,44.38,JPY,Purchase,Success,ACC-103449,5326.52,MER-9640,Uber,False,2022-10-18 09:50:18
1631130,CUST-1960,Alice Johnson,d0e24d76-df9d-44ba-b916-27d4af14346f,2c24e769-f265-4db4-986a-20e7cf7e9441,120.85,GBP,Purchase,Success,ACC-353447,1432.28,MER-4632,Shell Gas Station,True,2022-02-01 22:19:30
1280379,CUST-7401,Jackie O'Neil,35985cf5-7737-40c0-b8f5-84d864ed4d12,67cc7242-8d7e-414c-a24c-48fbdb505d62,389.03,USD,Refund,Pending,ACC-199940,7500.97,MER-9940,Walmart,False,2022-08-15 21:00:21
8942641,CUST-6596,Laura Quinn,533a5b93-ba38-4d18-a1a6-d766339548d1,904eedaa-c097-489f-bab6-06228b7833cc,400.6,USD,Purchase,Pending,ACC-782011,7674.21,MER-8324,Uber,True,2022-09-18 13:45:25
1303556,CUST-8411,John Doe,00e8b3d3-9696-4ac1-aa05-8dd3d78a6065,454d5b45-fa9e-4fe9-a5ad-a420b7bf95bf,382.94,JPY,Refund,Failed,ACC-588229,6369.77,MER-2594,Shell Gas Station,False,2022-10-04 13:06:24
5615435,CUST-2228,Mike Rogers,805cde73-8227-4d0a-bf41-37f6967cc6d0,b0969016-f541-4fe8-a696-df38b153253e,70.31,USD,Purchase,Failed,ACC-374129,8100.38,MER-6367,Amazon,True,2022-02-25 03:22:20
3114687,CUST-2953,Laura Quinn,b64c5498-a61c-4543-b2ff-190f42d0aec0,0275db04-0ddb-4522-af3b-ad7959317453,341.71,JPY,Purchase,Pending,ACC-211468,770.54,MER-5770,Costco,False,2022-07-29 04:12:50
6990202,CUST-7516,John Doe,4e6d5d4c-3b06-4c36-addf-6497d5c2344a,bd82bacb-5c60-4032-89e7-0031d14245a5,8.95,EUR,Purchase,Pending,ACC-591741,2492.9,MER-9232,Amazon,True,2022-01-16 10:09:42
7285629,CUST-7475,Bob Brown,b88e17d2-a251-4594-864f-971eecbbcdab,aa749ce2-beec-42f0-8b86-404eb32324b1,212.11,GBP,Purchase,Success,ACC-846965,3744.33,MER-5648,Costco,True,2022-10-05 06:41:44
5003330,CUST-4021,Jane Smith,59ad614a-0932-4dd4-b779-cd019ec62fbc,cfe4fd8f-8bf8-4479-8d99-74b84e835048,495.32,JPY,Refund,Success,ACC-893650,6822.09,MER-2111,Costco,False,2022-02-27 22:13:05
3354809,CUST-2003,Grace Lee,085a4bd5-fe0b-4188-86eb-457ceef1294e,8a7ffc34-701f-4445-b4c5-fc1072e1b542,20.71,JPY,Refund,Success,ACC-596514,7671.73,MER-6691,Home Depot,False,2022-08-25 17:24:00
9770519,CUST-2964,Grace Lee,94391573-cd30-4fb2-9bc7-2ce459f26616,cec94bd3-8e4d-4e64-b27c-989cbf7eb61a,164.96,JPY,Purchase,Success,ACC-556699,6153.23,MER-4880,Best Buy,True,2022-05-20 23:16:18
3184837,CUST-8345,Grace Lee,fc835e4f-0b7f-444f-8e86-32a492ca387e,df8b6bc7-871d-4275-9b8a-67e8b397e4b5,387.37,USD,Refund,Pending,ACC-743875,3380.93,MER-2772,Google Play,False,2022-02-10 21:50:29
3817176,CUST-6938,Laura Quinn,6cb894ce-92a5-4d99-affe-92b753e055ea,9ed14587-2317-414b-a36e-3846b825a05c,235.2,USD,Debit,Success,ACC-170534,2616.1200000000003,MER-5982,Shell Gas Station,True,2022-03-08 03:42:42
8864005,CUST-7372,Nancy Stevens,0a103723-79de-4fc4-bf46-6e2ede5daf99,6610abf5-8e79-4653-b5a5-efc9c1cc7a81,173.82,EUR,Refund,Pending,ACC-706653,1662.16,MER-1326,Shell Gas Station,False,2022-09-20 02:07:24
7177624,CUST-8154,Alice Johnson,df12cc74-5f30-416f-87e3-65b6dcb6cb79,c2c0589e-d0a2-4959-9e9b-54b90e03f6e7,353.69,GBP,Purchase,Failed,ACC-818534,1572.57,MER-8394,Uber,False,2022-12-07 18:13:53
3248259,CUST-9377,Jane Smith,fca7ef05-21fc-4477-ad40-d4b9f371857d,89c0679d-8442-47a7-8dce-03836cb5d1e4,194.66,JPY,Debit,Failed,ACC-139655,4829.4800000000005,MER-5611,Amazon,False,2022-08-22 17:18:25
5268484,CUST-3121,Mike Rogers,1fc33ca1-4aa1-47ea-8059-87a389e1383f,263b155e-e93e-4169-a3ba-941bd36581f6,198.73,EUR,Debit,Pending,ACC-222522,2005.5300000000002,MER-3221,Starbucks,False,2022-04-19 05:26:45
3951017,CUST-8078,Mike Rogers,cbaeb8e7-8bfc-4406-9bd1-09a9b9102a56,d4f616f1-2882-492f-a399-e26a8da265b6,476.57,USD,Debit,Pending,ACC-313935,9449.81,MER-2793,Netflix,True,2022-09-12 11:13:47
4174773,CUST-5878,John Doe,065045b0-8e07-4792-b40b-3e21a227c1bc,354e9b72-cf8a-49c8-bdd6-ae41462059f7,263.93,USD,Purchase,Success,ACC-419054,6746.05,MER-7738,Apple Store,False,2022-07-24 22:38:42
1109374,CUST-6146,Alice Johnson,a6a8ada5-f8af-4928-8554-95919243b7ed,9eaad112-6988-45f9-af18-2130af9cae50,112.09,EUR,Purchase,Success,ACC-890733,742.05,MER-4250,Home Depot,False,2022-12-25 08:31:33
3463858,CUST-8791,Eva Green,71a5d6a4-a43e-4780-99b8-e58b6c1474ea,b546f1cb-defd-4a95-a72f-b73d5bb8ae33,391.81,JPY,Purchase,Pending,ACC-510971,2804.68,MER-7930,Uber,False,2022-02-16 04:01:51
9678163,CUST-4383,Nancy Stevens,484b22ac-d561-4794-985e-8167da5b96ad,fec730eb-b7b9-41f3-8d76-1000dfe2c020,428.89,EUR,Debit,Pending,ACC-621942,3757.5099999999998,MER-7184,Costco,True,2022-02-27 23:37:50
8343006,CUST-2252,Ivy Nelson,6d7424fa-52fe-4258-9e9e-0dbf147b7116,15d04b81-62ec-4a00-a9c7-73784cacb842,294.06,USD,Purchase,Pending,ACC-608706,6067.87,MER-9418,Netflix,True,2022-10-17 19:15:12
6187521,CUST-4529,Kurt Peters,7dce98b6-913a-4e24-add0-077f10b064c6,6486b5d6-7f79-41df-b031-42da75756525,204.73,JPY,Debit,Pending,ACC-973944,1366.73,MER-5991,Shell Gas Station,True,2022-03-07 17:37:16
2466684,CUST-6340,Frank Harris,9ab7530e-2bb3-417c-ac94-2bd69c136e1c,7786c2e6-25a7-424b-bf8d-8defeaef8b57,162.06,USD,Debit,Pending,ACC-889636,2089.55,MER-2547,McDonald's,False,2022-06-19 16:48:01
3037808,CUST-1314,Charlie Davis,69ffd4d6-cbcc-4a9f-9802-e21fc82909a4,19ae4dfe-fb8f-4129-b5f8-ec127c93d19a,65.31,EUR,Debit,Success,ACC-737343,2382.55,MER-7552,Netflix,False,2022-11-21 17:36:59
5484052,CUST-9496,Frank Harris,c8d7e9ad-fb24-4859-8845-5bdc87400af4,69e3617e-b634-4675-941a-ead89d0cbb33,487.06,JPY,Debit,Success,ACC-202855,4592.379999999999,MER-1278,Apple Store,True,2022-03-07 05:15:59
2647378,CUST-7767,Jane Smith,fc741367-d37c-4bba-a161-65f12b0ec5fa,24d8287d-9093-4e8c-946e-a3fca87f5dab,272.73,EUR,Refund,Success,ACC-476716,5262.17,MER-1532,Shell Gas Station,True,2022-07-13 17:05:35
5483778,CUST-2063,Grace Lee,8acf7618-8963-437a-bbd5-4e46be8d7ba3,2e4dac65-14d5-4637-bd9a-65fa68eddcf3,483.26,USD,Purchase,Failed,ACC-708495,6056.48,MER-4264,Apple Store,False,2022-04-19 17:57:36
9686859,CUST-8960,Charlie Davis,1606d999-d1c4-4107-b775-7d92eac065df,1aebdb8f-2a78-4a6a-8ad4-d155e0731578,154.89,USD,Purchase,Failed,ACC-395503,8500.08,MER-2736,Apple Store,True,2022-08-02 08:21:05
7000849,CUST-2196,Jackie O'Neil,2a6c2334-17f6-4562-8b31-3344ebdc40cb,3e403358-b9e7-4b0a-b383-1f37e0bd99f2,335.75,JPY,Refund,Success,ACC-548387,1596.57,MER-2853,Apple Store,False,2022-07-02 00:38:13
4374816,CUST-5104,Laura Quinn,578308d4-cb33-46d3-a6ec-d9e109074496,b7d0ba08-2eb1-491d-aafd-3de04406b693,442.4,EUR,Debit,Pending,ACC-982814,201.11,MER-6281,Starbucks,True,2022-01-22 07:31:13
6058434,CUST-2607,Henry Miller,191aa328-9230-4570-8436-6fc6b50dbc5d,188332c0-d3d3-446e-829c-05ee01f1143b,230.17,EUR,Purchase,Pending,ACC-460733,2327.26,MER-1833,Netflix,True,2022-12-11 08:19:51
5535516,CUST-4498,Kurt Peters,2462ab82-1910-4472-8bdb-058885a754b7,8f703740-de7f-4612-a9f6-12b791531b3b,404.29,JPY,Debit,Failed,ACC-359682,5719.78,MER-4032,Apple Store,True,2022-04-01 18:27:43
4177484,CUST-2301,Bob Brown,9af94ceb-e740-437d-98ef-49b8405c4565,844e7769-25eb-4458-a38d-07e11276139d,243.55,USD,Debit,Success,ACC-767518,4511.76,MER-3456,Amazon,False,2022-10-07 07:33:59
2791481,CUST-3626,Jackie O'Neil,2b2038e7-61af-4dfe-82f8-08ed69e91db1,b73493d2-578c-445a-85d7-736ed3589285,400.48,EUR,Purchase,Success,ACC-957242,3620.49,MER-9284,Home Depot,False,2022-02-18 04:55:20
7812479,CUST-2020,Henry Miller,eb077dab-67b1-40aa-995d-a7d36facdd00,b5f68324-8fa5-4d4a-8341-4fe2a7f90d2b,68.16,GBP,Purchase,Success,ACC-938364,3178.24,MER-5424,Google Play,True,2022-08-22 02:20:19
9765135,CUST-5389,Jackie O'Neil,7d3c7c8c-1df5-4d80-85a2-b42625e4378d,aa6084d9-d864-4b98-8158-7ddd8b47d328,363.47,JPY,Debit,Pending,ACC-197502,7333.13,MER-2592,Apple Store,True,2022-06-05 23:56:17
5048109,CUST-5720,Ivy Nelson,0ed34d52-3a2c-435b-9aef-8f0221d5294b,8f7b4340-0249-4cb0-b0f1-a0876d00c8ea,339.67,USD,Refund,Pending,ACC-839816,6070.53,MER-5892,Zara,False,2022-01-01 06:12:51
1601888,CUST-6036,Kurt Peters,5e8bd9b4-e25d-453b-821a-064daff471c5,ea39dbc1-d62c-43a1-acb3-d2056c6a0a5c,196.76,USD,Debit,Success,ACC-871902,6748.969999999999,MER-3923,Target,False,2022-03-02 00:55:54
8593279,CUST-2338,Nancy Stevens,33c0475c-d713-4d1b-8955-e2e0ecc7022b,83f52ecf-c57d-4ee9-88bd-4d67d617069b,477.12,EUR,Debit,Pending,ACC-711517,8253.15,MER-9423,McDonald's,False,2022-12-07 14:25:15
5603610,CUST-6895,Grace Lee,aa63309f-5313-42e4-8c7d-6f22eda21be5,0c1ca235-8e02-47f4-b897-1c9057993b07,158.13,EUR,Debit,Pending,ACC-483801,3630.79,MER-4827,Spotify,True,2022-02-17 02:13:52
2201080,CUST-6165,Grace Lee,eb9a4994-02a8-4e10-ac93-6a7a4fd2ffce,7e20a248-02e8-459f-b08a-c1aff6b694d1,23.98,JPY,Debit,Success,ACC-725001,7239.540000000001,MER-9045,Starbucks,False,2022-09-25 21:07:52
8048605,CUST-7590,Jackie O'Neil,7a30ccad-55ba-40a3-9316-7bd8b3938993,c29098f1-9714-41d4-b5fc-8111acf3bcb5,330.62,GBP,Debit,Success,ACC-177426,8588.109999999999,MER-1598,Apple Store,True,2022-07-22 02:20:57
3339270,CUST-2580,Charlie Davis,b4c2b932-f8d3-48b5-97bc-2a4ee915adc8,007ec7b2-5f22-47c8-9ed5-c0631cec1b70,462.89,EUR,Purchase,Pending,ACC-721106,7166.57,MER-2817,Starbucks,True,2022-11-20 22:43:16
1816572,CUST-9466,Mike Rogers,d7fafbfc-8993-473b-91d6-24d10be9fffd,1a6092e4-710a-4302-af8f-637c0c0d2ccf,489.4,GBP,Purchase,Success,ACC-376593,4266.05,MER-5324,McDonald's,True,2022-06-13 17:29:47
4059642,CUST-2181,Nancy Stevens,aa4a21e2-c66b-4d4f-bb6d-4827168042c3,149202a7-f0f9-4ec7-b4f1-a59388cc3e34,391.51,EUR,Purchase,Failed,ACC-508157,6654.63,MER-6168,Google Play,False,2022-01-06 10:14:25
4657912,CUST-4166,Charlie Davis,17871252-5eaa-45c3-86eb-52fc0a89ab02,29122c52-cff1-4bc9-9aec-8cefbb12accf,153.83,GBP,Purchase,Pending,ACC-129848,1233.65,MER-7522,Costco,True,2022-06-12 00:58:19
2024460,CUST-6449,John Doe,14e4629a-d559-4554-a59f-544825a50d84,b1b75e5e-ce0f-4696-a0a3-9c61c6418ee5,19.69,JPY,Refund,Failed,ACC-332728,5236.61,MER-4505,Netflix,False,2022-08-27 15:27:14
5118585,CUST-7939,Grace Lee,08ca49cc-a655-4c44-8334-4bb1e29ee4f0,da307a9b-5d18-4201-8287-5a1d304ef877,192.58,EUR,Purchase,Failed,ACC-511067,1364.24,MER-6146,Amazon,False,2022-10-10 13:16:50
2319907,CUST-9216,Charlie Davis,40602e9e-8837-4bb0-8111-462d8a3f6a37,360b3ce6-f6aa-47c0-80d5-7291ad6ff3f8,366.68,EUR,Debit,Success,ACC-197317,7953.6,MER-6096,Target,True,2022-07-02 06:04:35
6443984,CUST-8613,Jackie O'Neil,5ce04513-87a1-439f-a5c1-e998a32ad675,eb51ddad-7ffc-4729-a1ec-9cb636d423ec,79.87,USD,Purchase,Success,ACC-967083,8450.04,MER-2427,Zara,True,2022-08-10 20:13:50
2510233,CUST-6815,Kurt Peters,ae2251c0-05b5-425e-8b78-20b97a1949c6,b2ff1ebd-8364-4ebf-8ce8-ad5de9279161,239.28,JPY,Refund,Success,ACC-830973,767.08,MER-6845,Apple Store,True,2022-08-07 04:23:33
7270694,CUST-3556,John Doe,c616b461-4e77-4692-a7f9-b187682ca12b,9920141a-c41c-495b-9605-6af0fe22a4d3,237.9,EUR,Refund,Pending,ACC-994030,9019.04,MER-9631,Shell Gas Station,False,2022-07-25 16:32:42
4053410,CUST-1419,John Doe,12fb1ab9-4332-40af-b06c-10a3029f8e12,989b565f-9359-4dc9-bcdc-92d93cad485a,282.78,JPY,Debit,Success,ACC-956689,7675.09,MER-7961,Zara,False,2022-06-24 19:54:37
3971421,CUST-8393,Grace Lee,036589f8-fc4f-480e-8453-e3c0a8b4be00,5bfb63d7-bd6a-43fc-bea3-eb3b971ebd0a,31.96,JPY,Debit,Pending,ACC-428269,7165.98,MER-5165,Costco,False,2022-04-28 07:13:10
1088021,CUST-1832,Nancy Stevens,7f27decd-7b75-403a-90a1-312091ce556b,5ac9b3f4-fbdd-42d1-a585-7d5286a15a57,251.06,JPY,Refund,Pending,ACC-422293,8569.88,MER-7383,Shell Gas Station,False,2022-03-14 14:39:07
3716887,CUST-6940,Jackie O'Neil,a489e738-1709-4295-9a78-589e9a71e159,27563717-b66f-43ba-b39a-c6c58e7ff644,219.3,EUR,Debit,Failed,ACC-686702,6683.45,MER-7227,Walmart,False,2022-01-01 06:25:13
8062796,CUST-2074,Grace Lee,41ace1d1-d48b-41ad-9e97-587a9c286e06,7b03701c-4cab-4d33-a27f-8d0d987c13f7,363.98,GBP,Debit,Failed,ACC-815880,5689.110000000001,MER-3068,Shell Gas Station,True,2022-10-07 23:42:21
2657991,CUST-5502,Eva Green,560ffc4e-010f-40f1-b785-e943653bdd59,c0b6a83f-c153-4b75-94e9-900a59f8b169,355.24,USD,Refund,Failed,ACC-300037,5690.34,MER-4361,Netflix,False,2022-10-20 13:28:24
1211872,CUST-9046,Jackie O'Neil,7f206974-9714-4172-8fb3-f77af50b5ab1,ee5fc996-d9f6-405c-8aac-195712ed1ff6,454.06,JPY,Purchase,Failed,ACC-634717,4566.1,MER-9141,Starbucks,False,2022-08-15 22:55:55
3778765,CUST-4632,Bob Brown,68c33e8c-52c9-4521-b842-903d9218fbce,7760714b-53cf-4e28-9074-57819dd9571c,370.53,EUR,Refund,Pending,ACC-771135,5018.64,MER-5869,Apple Store,False,2022-10-25 04:09:39
3750351,CUST-4039,Kurt Peters,e87678c4-b7ea-46d9-beaa-13f3559f09ef,b9a4a5d6-8092-4574-9aff-5a89a4fe2b24,467.02,USD,Refund,Failed,ACC-637064,4828.72,MER-4353,Uber,True,2022-04-29 20:21:48
2569468,CUST-2715,Kurt Peters,bc57e611-68e0-445e-bb2b-b6f683ff4916,43ed0c97-6ce0-4ca2-a371-2aadd6d0e17c,171.16,JPY,Purchase,Failed,ACC-676792,8939.38,MER-7740,Best Buy,True,2022-11-26 01:52:38
2648588,CUST-3593,Nancy Stevens,0288163a-64b8-4a69-8fe0-6df647482d7b,49ea0d42-432c-4506-b1c4-093197056bac,461.63,JPY,Purchase,Pending,ACC-558632,9789.58,MER-6765,Google Play,True,2022-08-01 18:01:54
4799944,CUST-3275,Grace Lee,2548ddcb-6101-4feb-99f6-980f38d37697,b113dd56-41c1-4711-9b2a-c1639ea2b52e,431.06,EUR,Debit,Pending,ACC-915835,4749.219999999999,MER-5957,Apple Store,True,2022-01-12 12:29:26
1757366,CUST-1203,Alice Johnson,0809372c-7a08-4979-9441-068e0d620fa0,c4a4f000-f5c6-418a-aeb4-d31448b15e28,89.59,GBP,Debit,Success,ACC-274790,6781.26,MER-8838,Walmart,False,2022-10-22 11:37:21
7846955,CUST-6799,Charlie Davis,9c878f37-fdf1-4d65-a126-1036ccf892d8,7b41fca6-5a0f-4ec4-a5f3-7656b1fd8d55,439.28,GBP,Debit,Success,ACC-416062,6170.35,MER-6373,Walmart,True,2022-07-23 06:52:28
6551188,CUST-8024,Grace Lee,740870a9-62b0-421d-88c7-410283b3e407,2e2607b1-19c7-4e3c-a7d9-0a694fad8d66,252.09,JPY,Purchase,Pending,ACC-666545,8015.12,MER-5392,Apple Store,False,2022-09-14 15:08:48
