Profile-ID,Consumer-ID,Customer-Name,Session-ID,Transaction-Reference,Transaction-Amount,Currency,Transaction-Type,Transaction-Status,Account-Number,Account-Balance,Merchant-ID,Merchant-Name,Fraud-Flag,Timestamp
9123791,CUST-5216,Henry Miller,4771d985-37d2-480b-a83c-f74b4a5cc23a,bebf2fc6-9ad1-43dd-886c-6baa59f22396,416.45,USD,Debit,Success,ACC-297098,4047.66,MER-6773,Apple Store,True,2022-05-12 22:37:43
9643791,CUST-7896,Nancy Stevens,7bb37923-88b7-4e85-9c67-fff44f9c6c60,fa7cbadc-17a3-461d-bb7e-c087a98343c5,37.04,EUR,Refund,Success,ACC-446775,790.71,MER-6097,Netflix,True,2022-09-06 02:13:30
7217197,CUST-7200,Eva Green,7de29b3d-7b73-4a6a-8ab0-07a2dd81b487,90b2c6e7-e60a-4c91-8bc2-209c5c80c14e,127.21,JPY,Debit,Failed,ACC-872008,9783.68,MER-7530,McDonald's,True,2022-06-11 14:25:28
9909980,CUST-8060,Kurt Peters,32e7a6a8-b75c-41e7-baa1-a5053a947a57,de98e44b-2a30-4bee-a495-93fb88679b20,148.02,USD,Refund,Failed,ACC-426909,8061.73,MER-5879,Google Play,True,2022-01-04 21:58:11
8649531,CUST-2781,Mike Rogers,1032a535-9611-4cf4-97eb-471992fc8810,eef25dd4-add9-4d60-8920-1fd6c5811af9,303.29,EUR,Debit,Pending,ACC-110810,2158.77,MER-4689,McDonald's,True,2022-03-23 03:03:46
6120382,CUST-6710,Bob Brown,36dd1318-dcb8-4e5d-85ad-52629df4d993,fcf6bbda-98c4-4b48-bd61-dca81b7c602f,355.21,EUR,Purchase,Success,ACC-765672,2829.19,MER-1400,Costco,True,2022-09-03 15:49:42
2516015,CUST-1478,Ivy Nelson,e66ed95e-f563-4091-a04b-4600e932dd56,19ef2525-f142-4438-b0bd-885a7394e0f2,110.68,JPY,Debit,Success,ACC-229221,3225.42,MER-3432,Target,False,2022-12-15 21:49:22
6827450,CUST-1452,Charlie Davis,1c48e4b8-5e85-4a15-91eb-7963b9fa6e06,cfa6055f-aeb2-4b5d-8004-a015319864c2,342.87,GBP,Refund,Failed,ACC-734267,5826.3,MER-7358,Netflix,False,2022-07-12 21:15:17
2326591,CUST-2788,John Doe,f26059f6-7d4d-4fce-bc58-352d9562439e,44ba88e0-b84f-4bdb-a2c6-03230a2d42ba,104.81,JPY,Purchase,Failed,ACC-558783,6838.5,MER-9714,Apple Store,True,2022-01-01 10:55:21
3916417,CUST-2132,Ivy Nelson,022e85e9-e628-4a59-88d2-963321f46dd9,019a7bca-b0a4-4690-b062-71517e5f9347,380.37,GBP,Refund,Pending,ACC-295374,9687.43,MER-1799,Netflix,True,2022-03-17 08:39:01
8063526,CUST-1378,Mike Rogers,b127a0e0-773b-4761-aa52-cf8552d1b051,8de5052e-cf5e-4da5-a7a0-ccff499a4604,362.73,USD,Refund,Success,ACC-844070,8100.55,MER-1827,Shell Gas Station,True,2022-04-08 01:03:29
9939194,CUST-2765,Laura Quinn,09aa5efc-ac70-4c0b-8e22-0208da6b7768,39090356-f7fe-4ddd-89f4-3d764d3d47ff,403.96,EUR,Refund,Pending,ACC-899753,5793.27,MER-6668,Netflix,True,2022-06-14 16:23:06
5859507,CUST-5634,Nancy Stevens,487ab135-7c7c-4842-888f-d94e7c8ff5d6,584173a3-d550-44ba-b3e4-c850af80c000,420.82,EUR,Purchase,Pending,ACC-970538,1910.03,MER-7864,Home Depot,True,2022-12-19 03:22:16
9866892,CUST-3577,Frank Harris,67c5c3b9-cc1d-4796-bd89-cb45d436f112,71c33e14-b07c-44f7-a183-1e2ac5cd79b2,7.58,EUR,Purchase,Failed,ACC-151893,2767.77,MER-6296,Zara,False,2022-05-23 11:03:37
7338911,CUST-3128,Jackie O'Neil,12e88f93-2fa9-41a3-afdc-9948a6f00873,3fdde343-3845-4536-9544-bc49d26f4dff,252.49,USD,Debit,Failed,ACC-652692,152.05,MER-3331,Home Depot,True,2022-07-15 15:36:40
2964246,CUST-3071,Laura Quinn,93205355-f708-43bc-acc1-167c70360378,b2c89dd6-3acf-43bc-8c62-e81178949810,336.68,GBP,Refund,Success,ACC-560255,2816.94,MER-6310,Amazon,True,2022-02-20 17:16:01
6979704,CUST-3611,Mike Rogers,920996c9-cd00-41ec-bab4-0e094c2c3832,d12e94ae-2a3e-430e-9c66-568504f88c43,284.77,EUR,Purchase,Pending,ACC-500979,6512.94,MER-8617,Starbucks,False,2022-08-19 10:58:55
8643217,CUST-4267,Jane Smith,0c16aae8-c61f-41ed-9a9b-4ecb68033ced,15e26982-bc6c-4dcb-be4d-ef5f9c53a024,59.23,GBP,Refund,Failed,ACC-944944,7186.21,MER-2437,Spotify,False,2022-06-14 12:31:52
1079194,CUST-4709,Charlie Davis,18b92602-220f-4557-b790-47c1a4cceb8f,e8be0688-5a9c-4b58-b755-8e7a6e643812,256.95,EUR,Debit,Pending,ACC-968950,5694.53,MER-3946,Uber,True,2022-09-12 03:43:03
4474365,CUST-3600,Bob Brown,c66b8d6c-2808-403e-b2e7-af33d4e9027e,3d687126-8cc7-4387-89ae-810eb0cc531c,336.68,USD,Debit,Pending,ACC-445557,5925.32,MER-1295,Zara,True,2022-03-20 15:21:19
3006971,CUST-2590,Frank Harris,bb4d28f5-2d2e-4be0-a7af-1d1be98c7f9d,fb40317a-72e1-4be7-95f9-997f854988bc,382.11,GBP,Refund,Success,ACC-255008,893.47,MER-5867,Starbucks,False,2022-07-09 16:07:25
1906159,CUST-5455,Bob Brown,61764fb7-9d4a-4f36-a5bb-7cadfddd4dc8,462c86ac-a96f-4ce4-90bc-cea1fbbce588,312.4,GBP,Debit,Pending,ACC-931698,8426.53,MER-5663,Google Play,False,2022-09-27 23:58:35
5914712,CUST-1881,Laura Quinn,6f33503f-f65e-4848-b40a-c145df03cc24,c1a247fe-cad8-4977-b962-2a2a979db8ff,119.12,GBP,Purchase,Success,ACC-958608,1455.15,MER-5644,Spotify,True,2022-03-18 07:27:42
5370850,CUST-1530,Laura Quinn,b5e0cf77-186e-485b-b079-1c1f34cd3656,055d5759-3d53-4c61-ae35-3b9c7af58037,309.09,GBP,Refund,Success,ACC-188709,9862.27,MER-5748,Home Depot,True,2022-01-09 23:34:25
5791356,CUST-4864,Jane Smith,2bc987cf-279a-4984-8e73-1b3ecac15a22,bd59347f-6346-4f86-bfa0-5cca5970ca55,366.92,EUR,Refund,Pending,ACC-511281,4147.48,MER-8369,Home Depot,True,2022-04-29 05:09:36
2204144,CUST-2658,Charlie Davis,bd2fd89d-e6c4-46b1-9d55-dac7e0367f3b,13ad2d7a-163b-412a-8f9e-5f260a3f8eed,362.52,JPY,Debit,Pending,ACC-535844,8268.11,MER-7139,Shell Gas Station,True,2022-02-12 18:37:29
9538353,CUST-5953,Henry Miller,43076559-373f-4882-be42-bc5eea6ff7af,3560e811-9f3b-485a-b0b2-e5f7427759b4,130.5,EUR,Purchase,Success,ACC-663670,2444.48,MER-4701,Walmart,False,2022-02-17 18:14:11
2856954,CUST-4550,John Doe,d3d61f88-cf07-4ac8-9f6a-59a5c757bf15,58c236c3-bfec-4936-8b37-208efe364207,447.31,JPY,Debit,Success,ACC-554144,8487.14,MER-7681,Costco,True,2022-04-10 23:10:21
5405902,CUST-8854,Eva Green,8312b01f-5ca5-474b-bd20-b6c97dc23d5a,40c17a48-ce57-4e8a-ae0a-e509318204b5,281.54,GBP,Debit,Failed,ACC-932387,6448.51,MER-9636,Walmart,True,2022-02-06 21:12:24
3515096,CUST-1625,Alice Johnson,31149e51-ddbb-4b6a-8494-bc779a32f8bf,252a62fa-b2eb-4aeb-8041-733589470bde,427.75,EUR,Purchase,Pending,ACC-405291,9079.63,MER-8328,Amazon,True,2022-12-02 20:29:22
