Profile-ID,Consumer-ID,Customer-Name,Session-ID,Transaction-Reference,Transaction-Amount,Currency,Transaction-Type,Transaction-Status,Account-Number,Account-Balance,Merchant-ID,Merchant-Name,Fraud-Flag,Timestamp
6410722,CUST-5554,Bob Brown,c9f00d08-c895-472a-aecd-941cda1121e8,4b8d25fe-c185-4fd8-a6d2-77fe28f18363,178.72,JPY,Purchase,Pending,ACC-130416,4387.37,MER-9748,Shell Gas Station,Yes,2022-04-29 05:50:43
9249494,CUST-6809,Charlie Davis,899dc21e-2167-42fb-8020-f8d8a5a87ff5,56f96f19-b04b-4ac8-a7b0-15893929e981,9.12,EUR,Transfer,Failed,ACC-411940,2835.88,MER-1676,Uber,Yes,2022-08-03 15:38:16
7269937,CUST-8192,Nancy Stevens,e6108b16-dfd6-4630-9e87-28e3d88e7190,e263cd36-8bf7-41d8-bf45-562f00d831b4,387.88,USD,Withdrawal,Completed,ACC-547750,6571.16,MER-4878,Amazon,Yes,2022-11-14 23:24:04
5862826,CUST-7409,Jane Smith,2308b701-2d5b-43c5-baa1-755f17695c2d,46caef80-501e-4092-b56b-4dc08a04cf1a,359.71,USD,Refund,Failed,ACC-308176,4798.42,MER-5227,Best Buy,Yes,2022-05-01 01:16:20
5267225,CUST-6123,Grace Lee,1523829c-abf0-45d9-aceb-97163dfb62d6,e5cd3af6-712b-4cdb-bd37-228f6e0a4c12,73.46,EUR,Purchase,Completed,ACC-477525,2215.44,MER-8649,Costco,No,2022-11-29 21:02:52
9439488,CUST-6365,Charlie Davis,573d273b-225f-4be2-bed5-40f5867d8c17,b44e0bca-975f-4eb6-8470-b3eb393a3d27,182.69,GBP,Transfer,Failed,ACC-656690,608.58,MER-4251,Shell Gas Station,Yes,2022-02-15 21:18:07
7262336,CUST-7934,Nancy Stevens,a4f8913d-7886-42aa-8c80-bc4cdd28bdb7,059390bd-8912-40e1-85f0-f4b027fed6d5,108.91,USD,Transfer,Pending,ACC-236643,3090.33,MER-6191,Uber,No,2022-10-14 06:26:25
1571346,CUST-2419,Nancy Stevens,9ef0d385-7103-4b18-b741-e38d54883c95,eef53c72-2089-42f1-b20d-07356d8e8ccc,403.98,USD,Transfer,Completed,ACC-500101,6361.55,MER-2549,Amazon,No,2022-11-17 07:36:55
2897161,CUST-2172,Laura Quinn,6e7d7a17-ea26-4545-9213-0c4585381919,9df59a73-6948-47f8-afb5-52305a0a0b62,37.92,EUR,Transfer,Pending,ACC-249525,308.73,MER-4199,Home Depot,No,2022-01-09 20:17:27
5881659,CUST-5988,Nancy Stevens,9e1b4e9c-e96f-404d-9708-4d4c00046b70,f1bf185d-b2e9-4782-9ad9-b42183423740,137.51,JPY,Purchase,Pending,ACC-149771,6095.79,MER-2481,McDonald's,Yes,2022-07-03 01:57:44
