Profile-ID,Consumer-ID,Customer-Name,Session-ID,Transaction-Reference,Transaction-Amount,Currency,Transaction-Type,Transaction-Status,Account-Number,Account-Balance,Merchant-ID,Merchant-Name,Fraud-Flag,Timestamp
4643531,CUST-3422,Nancy Stevens,55b48199-16dd-4501-ad69-5ac4c5d9d8b5,728ffd1d-4bcf-4498-a2cd-963ef1ad57c7,124.82,JPY,Refund,Failed,ACC-239744,5906.97,MER-3242,Walmart,False,2022-10-08 10:19:20
3580020,CUST-6447,Bob Brown,7f539c4c-3635-4886-aa5a-d875474e8468,8c2ec6c1-4659-4d1e-90f2-3472ab97e85f,43.86,USD,Debit,Pending,ACC-733174,9592.86,MER-2162,Best Buy,True,2022-04-21 02:25:34
7806145,CUST-7235,Kurt Peters,394a17e1-2976-4ee7-b71f-e6803d43bfea,c933aab1-c626-4833-8a8f-8785b54be8c0,453.16,USD,Purchase,Failed,ACC-194690,1033.8,MER-5200,Netflix,True,2022-03-21 07:04:50
9146516,CUST-8949,Nancy Stevens,60e4cfdc-074c-4a11-9896-4d529940b347,a90b7856-cfaf-4c5a-8e86-90379a6a1518,223.4,JPY,Purchase,Success,ACC-543245,3921.35,MER-9048,Apple Store,False,2022-11-12 18:56:19
7538124,CUST-5685,Alice Johnson,8d2721c0-942c-4f4f-b8a8-dd310893dc20,06e5b0cc-c6ed-47b1-ae47-6675ddc5ec12,347.63,USD,Debit,Failed,ACC-972046,9405.2,MER-5668,Home Depot,False,2022-12-24 00:11:59
3934508,CUST-5459,Grace Lee,e07f64cb-1b4e-46d3-8eb2-2992dfad3331,e9e20f9d-5fb3-4fac-aa53-50607e64dc39,321.57,USD,Debit,Pending,ACC-756309,8537.23,MER-3441,Spotify,True,2022-11-05 19:25:38
1521118,CUST-8373,Bob Brown,1a709efe-4e59-495c-8326-9e7d8e5bf5c5,49353da7-717c-4499-a8f8-274a2bca5548,408.54,EUR,Refund,Failed,ACC-581606,659.76,MER-3150,Amazon,False,2022-12-15 21:02:27
7558639,CUST-2443,Grace Lee,c8e60fe4-dc89-4c77-b8ea-5c1ea4692f36,88580c25-4ed9-417a-b5c8-43114b57db0d,69.26,GBP,Refund,Pending,ACC-811579,8204.32,MER-8139,Google Play,True,2022-08-17 20:44:46
8229271,CUST-1459,Jane Smith,a1d69850-8bd1-4614-9006-a537a211d3e9,e050aa97-396f-4921-a9f2-427144528895,92.5,USD,Refund,Failed,ACC-193633,499.38,MER-1227,Uber,True,2022-08-19 16:23:58
6857788,CUST-2930,Frank Harris,2a77229c-7988-469b-a97c-5dfd39e6d566,81bd3e13-4539-4f84-9c35-1c81243c0f62,182.96,USD,Purchase,Success,ACC-617855,1869.94,MER-7708,Costco,False,2022-04-16 07:48:18
