Profile-ID,Consumer-ID,Customer-Name,Session-ID,Transaction-Reference,Transaction-Amount,Currency,Transaction-Type,Transaction-Status,Account-Number,Account-Balance,Merchant-ID,Merchant-Name,Fraud-Flag,Timestamp
5570284,CUST-3473,Henry Miller,35a5ce30-b6f2-4b10-b2e2-413793652696,d08d600f-527a-4294-b8c7-63bd83488d12,92.39,GBP,Refund,Completed,ACC-340264,4298.88,MER-9013,Netflix,No,2022-03-05 22:40:26
5206908,CUST-4098,Nancy Stevens,47c85f14-7c96-4d4f-97af-98f4620d3d72,6fe72051-a084-462e-b5fc-d43032b419c7,104.72,EUR,Transfer,Pending,ACC-606929,4268.69,MER-4873,Apple Store,Yes,2022-12-12 21:25:35
1231227,CUST-7696,Alice Johnson,79a4c6a3-fa3b-4bf2-9267-6ebef90fd88d,ef1b5c9e-2788-453d-919d-62f56d1632f2,95.95,JPY,Withdrawal,Pending,ACC-174296,6857.52,MER-2692,Costco,No,2022-11-18 16:50:27
7479206,CUST-8978,Nancy Stevens,74b250dc-aa98-4fe8-96da-b6f08a9fc482,dce69a38-89ec-46e3-af97-d789bfa40b03,87.86,JPY,Refund,Failed,ACC-678848,9632.95,MER-8889,Target,No,2022-03-14 09:00:51
2752974,CUST-4346,Bob Brown,c680b7d2-e2b2-4194-9380-218d9401a796,7511c16e-6186-4a68-8ec8-12ae4a79e303,80.54,EUR,Purchase,Pending,ACC-371244,123.36,MER-6533,Home Depot,Yes,2022-12-25 22:44:59
6569721,CUST-1444,Charlie Davis,3e52c290-020b-4979-8c0b-03cc004d3499,5ea8221d-b2c9-43f7-a3fe-509d6b72cf2f,211.41,EUR,Purchase,Failed,ACC-870802,4545.4,MER-2204,Apple Store,No,2022-06-16 05:45:53
2441168,CUST-2299,Henry Miller,fe7537e3-855b-493a-bff2-45b5e1582c04,d600a028-0a6b-4524-ab27-5b5afd60c16d,14.75,GBP,Withdrawal,Failed,ACC-980352,7644.6,MER-7553,Starbucks,No,2022-08-23 18:54:14
5031118,CUST-4267,Jane Smith,6ab20dac-08ef-44bd-b258-563a662d0b86,186d05e8-9cac-4e58-ac50-3d7b9082fe9c,177.47,GBP,Purchase,Pending,ACC-351670,8651.48,MER-6209,Google Play,No,2022-04-28 23:43:47
1710065,CUST-9909,Bob Brown,db958ea4-d552-432c-add7-57e00dbe0b40,7e6a515a-dae4-456e-9068-d0895a834d8c,477.69,USD,Transfer,Completed,ACC-151202,413.95,MER-7387,Apple Store,No,2022-05-13 18:28:19
6624904,CUST-8911,John Doe,e30b7d29-8771-4615-98d7-fd353683893e,c48c9817-6968-4106-a064-5f1c6110186c,82.33,GBP,Refund,Completed,ACC-737871,2137.42,MER-2850,Spotify,No,2022-02-02 15:52:42
